type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Zip Code,23112,White,01/2020,36,51,2022-05-07
Zip Code,23112,White,02/2020,31,28,2022-05-07
Zip Code,23112,White,03/2020,17,24,2022-05-07
Zip Code,23112,White,04/2020,0,34,2022-05-07
Zip Code,23112,White,05/2020,2,40,2022-05-07
Zip Code,23112,White,06/2020,7,42,2022-05-07
Zip Code,23112,White,07/2020,8,41,2022-05-07
Zip Code,23112,White,08/2020,7,41,2022-05-07
Zip Code,23112,White,09/2020,23,49,2022-05-07
Zip Code,23112,White,10/2020,11,42,2022-05-07
Zip Code,23112,White,11/2020,4,49,2022-05-07
Zip Code,23112,White,12/2020,3,57,2022-05-07
Zip Code,23112,White,01/2021,4,51,2022-05-07
Zip Code,23112,White,02/2021,7,26,2022-05-07
Zip Code,23112,White,03/2021,6,24,2022-05-07
Zip Code,23112,White,04/2021,8,34,2022-05-07
Zip Code,23112,White,05/2021,2,40,2022-05-07
Zip Code,23112,White,06/2021,2,42,2022-05-07
Zip Code,23112,White,07/2021,0,41,2022-05-07
Zip Code,23112,White,08/2021,3,41,2022-05-07
Zip Code,23112,White,09/2021,2,49,2022-05-07
Zip Code,23112,White,10/2021,14,42,2022-05-07
Zip Code,23112,White,11/2021,8,49,2022-05-07
Zip Code,23112,White,12/2021,17,57,2022-05-07
Zip Code,23112,White,01/2022,49,51,2022-05-07
Zip Code,23112,White,02/2022,28,26,2022-05-07
Zip Code,23112,White,03/2022,25,24,2022-05-07
Zip Code,23112,White,04/2022,17,34,2022-05-07
Zip Code,23112,White,05/2022,4,1,2022-05-07
Zip Code,23113,White,01/2020,1,10,2022-05-07
Zip Code,23113,White,02/2020,2,1,2022-05-07
Zip Code,23113,White,03/2020,0,10,2022-05-07
Zip Code,23113,White,04/2020,0,9,2022-05-07
Zip Code,23113,White,05/2020,1,14,2022-05-07
Zip Code,23113,White,06/2020,0,12,2022-05-07
Zip Code,23113,White,07/2020,5,12,2022-05-07
Zip Code,23113,White,08/2020,5,4,2022-05-07
Zip Code,23113,White,09/2020,5,6,2022-05-07
Zip Code,23113,White,10/2020,9,4,2022-05-07
Zip Code,23113,White,11/2020,0,4,2022-05-07
Zip Code,23113,White,12/2020,0,3,2022-05-07
Zip Code,23113,White,01/2021,2,10,2022-05-07
Zip Code,23113,White,02/2021,3,1,2022-05-07
Zip Code,23113,White,03/2021,2,10,2022-05-07
Zip Code,23113,White,04/2021,1,9,2022-05-07
Zip Code,23113,White,05/2021,2,14,2022-05-07
Zip Code,23113,White,06/2021,0,12,2022-05-07
Zip Code,23113,White,07/2021,2,12,2022-05-07
Zip Code,23113,White,08/2021,2,4,2022-05-07
Zip Code,23113,White,09/2021,1,6,2022-05-07
Zip Code,23113,White,10/2021,2,4,2022-05-07
Zip Code,23113,White,11/2021,1,4,2022-05-07
Zip Code,23113,White,12/2021,5,3,2022-05-07
Zip Code,23113,White,01/2022,4,10,2022-05-07
Zip Code,23113,White,02/2022,7,1,2022-05-07
Zip Code,23113,White,03/2022,15,10,2022-05-07
Zip Code,23113,White,04/2022,1,9,2022-05-07
Zip Code,23113,White,05/2022,0,1,2022-05-07
Zip Code,23114,White,01/2020,4,16,2022-05-07
Zip Code,23114,White,02/2020,2,5,2022-05-07
Zip Code,23114,White,03/2020,1,7,2022-05-07
Zip Code,23114,White,04/2020,0,10,2022-05-07
Zip Code,23114,White,05/2020,0,8,2022-05-07
Zip Code,23114,White,06/2020,0,9,2022-05-07
Zip Code,23114,White,07/2020,4,19,2022-05-07
Zip Code,23114,White,08/2020,5,2,2022-05-07
Zip Code,23114,White,09/2020,7,20,2022-05-07
Zip Code,23114,White,10/2020,11,9,2022-05-07
Zip Code,23114,White,11/2020,1,11,2022-05-07
Zip Code,23114,White,12/2020,0,8,2022-05-07
Zip Code,23114,White,01/2021,1,16,2022-05-07
Zip Code,23114,White,02/2021,3,5,2022-05-07
Zip Code,23114,White,03/2021,2,7,2022-05-07
Zip Code,23114,White,04/2021,1,10,2022-05-07
Zip Code,23114,White,05/2021,1,8,2022-05-07
Zip Code,23114,White,06/2021,0,9,2022-05-07
Zip Code,23114,White,07/2021,0,19,2022-05-07
Zip Code,23114,White,08/2021,3,2,2022-05-07
Zip Code,23114,White,09/2021,1,20,2022-05-07
Zip Code,23114,White,10/2021,0,9,2022-05-07
Zip Code,23114,White,11/2021,8,11,2022-05-07
Zip Code,23114,White,12/2021,6,8,2022-05-07
Zip Code,23114,White,01/2022,3,16,2022-05-07
Zip Code,23114,White,02/2022,4,5,2022-05-07
Zip Code,23114,White,03/2022,4,7,2022-05-07
Zip Code,23114,White,04/2022,5,10,2022-05-07
Zip Code,23114,White,05/2022,0,0,2022-05-07
Zip Code,23120,White,01/2020,0,1,2022-05-07
Zip Code,23120,White,02/2020,1,2,2022-05-07
Zip Code,23120,White,03/2020,0,0,2022-05-07
Zip Code,23120,White,04/2020,0,2,2022-05-07
Zip Code,23120,White,05/2020,0,1,2022-05-07
Zip Code,23120,White,06/2020,0,0,2022-05-07
Zip Code,23120,White,07/2020,0,0,2022-05-07
Zip Code,23120,White,08/2020,1,1,2022-05-07
Zip Code,23120,White,09/2020,0,0,2022-05-07
Zip Code,23120,White,10/2020,0,1,2022-05-07
Zip Code,23120,White,11/2020,0,3,2022-05-07
Zip Code,23120,White,12/2020,0,1,2022-05-07
Zip Code,23120,White,01/2021,0,1,2022-05-07
Zip Code,23120,White,02/2021,0,2,2022-05-07
Zip Code,23120,White,03/2021,0,0,2022-05-07
Zip Code,23120,White,04/2021,2,2,2022-05-07
Zip Code,23120,White,05/2021,3,1,2022-05-07
Zip Code,23120,White,06/2021,0,0,2022-05-07
Zip Code,23120,White,07/2021,1,0,2022-05-07
Zip Code,23120,White,08/2021,0,1,2022-05-07
Zip Code,23120,White,09/2021,0,0,2022-05-07
Zip Code,23120,White,10/2021,0,1,2022-05-07
Zip Code,23120,White,11/2021,1,3,2022-05-07
Zip Code,23120,White,12/2021,0,1,2022-05-07
Zip Code,23120,White,01/2022,0,1,2022-05-07
Zip Code,23120,White,02/2022,0,2,2022-05-07
Zip Code,23120,White,03/2022,2,0,2022-05-07
Zip Code,23120,White,04/2022,1,2,2022-05-07
Zip Code,23120,White,05/2022,1,0,2022-05-07
Zip Code,23218,Other,01/2020,0,0,2022-05-07
Zip Code,23218,Other,02/2020,0,0,2022-05-07
Zip Code,23218,Other,03/2020,0,0,2022-05-07
Zip Code,23218,Other,04/2020,0,0,2022-05-07
Zip Code,23218,Other,05/2020,0,0,2022-05-07
Zip Code,23218,Other,06/2020,0,0,2022-05-07
Zip Code,23218,Other,07/2020,0,0,2022-05-07
Zip Code,23218,Other,08/2020,0,0,2022-05-07
Zip Code,23218,Other,09/2020,0,0,2022-05-07
Zip Code,23218,Other,10/2020,0,0,2022-05-07
Zip Code,23218,Other,11/2020,0,0,2022-05-07
Zip Code,23218,Other,12/2020,0,0,2022-05-07
Zip Code,23218,Other,01/2021,0,0,2022-05-07
Zip Code,23218,Other,02/2021,0,0,2022-05-07
Zip Code,23218,Other,03/2021,0,0,2022-05-07
Zip Code,23218,Other,04/2021,0,0,2022-05-07
Zip Code,23218,Other,05/2021,0,0,2022-05-07
Zip Code,23218,Other,06/2021,0,0,2022-05-07
Zip Code,23218,Other,07/2021,0,0,2022-05-07
Zip Code,23218,Other,08/2021,0,0,2022-05-07
Zip Code,23218,Other,09/2021,0,0,2022-05-07
Zip Code,23218,Other,10/2021,0,0,2022-05-07
Zip Code,23218,Other,11/2021,0,0,2022-05-07
Zip Code,23218,Other,12/2021,0,0,2022-05-07
Zip Code,23218,Other,01/2022,0,0,2022-05-07
Zip Code,23218,Other,02/2022,0,0,2022-05-07
Zip Code,23218,Other,03/2022,0,0,2022-05-07
